"Aaron Eckhart","actor","The Dark Knight", "true"
"Abe Vigoda","actor","Look Whos Talking", "true"
"Abigail Breslin","actor","Little Miss Sunshine", "true"
"Abigail Breslin","actor","Signs", "true"
"Adam Brody","actor","Mr. & Mrs. Smith", "true"
"Adam Bryant","actor","Fisher King, The", "true"
"Adam Sandler","actor","Anger Management", "true"
"Adam Sandler","actor","Click", "true"
"Adam Sandler","actor","Grown Ups", "true"
"Adam Sandler","actor","The Longest Yard", "true"
"Adam Sandler","actor","Big Daddy", "true"
"Adam Sandler","actor","Waterboy, The", "true"
"Adewale Akinnuoye-Agbaje","actor","G.I. Joe: The Rise of Cobra", "true"
"Adolphe Menjou","actor","Morning Glory", "true"
"Adoni Maropis","actor","Troy", "true"
"Adriana Caselotti","actor","Snow White and the Seven Dwarfs", "true"
"Adrien Brody","actor","Pianist, The", "true"
"Adrien Brody","actor","King Kong", "true"
"Agnes Moorehead","actor","Johnny Belinda", "true"
"Ahney Her","actor","Gran Torino", "true"
"Akim Tamiroff","actor","For Whom the Bell Tolls", "true"
"Akim Tamiroff","actor","Anastasia", "true"
"Al Pacino","actor","Scent of a Woman", "true"
"Al Pacino","actor","Godfather, The", "true"
"Al Pacino","actor","Godfather: Part II, The", "true"
"Alan Alda","actor","California Suite", "true"
"Alan Alda","actor","What Women Want", "true"
"Alan Arkin","actor","Little Miss Sunshine", "true"
"Alan Bates","actor","Women in Love", "true"
"Alan Bates","actor","Alexis Zorbas", "true"
"Alan Rickman","actor","Harry Potter and the Deathly Hallows: Part 2", "true"
"Alan Rickman","actor","Robin Hood: Prince of Thieves", "true"
"Alan Tudyk","actor","I, Robot", "true"
"Albert Brooks","actor","Finding Nemo", "true"
"Albert Finney","actor","Tom Jones", "true"
"Albert Finney","actor","Murder on the Orient Express", "true"
"Albert Finney","actor","Erin Brockovich", "true"
"Albert Gran","actor","Seventh Heaven", "true"
"Alec Baldwin","actor","The Aviator", "true"
"Alec Guinness","actor","Star Wars", "true"
"Alec Guinness","actor","Lawrence of Arabia", "true"
"Alec Guinness","actor","Bridge on the River Kwai, The", "true"
"Alec Guinness","actor","Passage to India, A", "true"
"Alena Murray","actor","Three Faces of Eve, The", "true"
"Alessandro Nivola","actor","Jurassic Park III", "true"
"Alex Jennings","actor","The Queen", "true"
"Alex Rafalowicz","actor","Shine", "true"
"Alexander DArcy","actor","Awful Truth, The", "true"
"Alexander Gould","actor","Finding Nemo", "true"
"Alexandra Astin","actor","Lord of the Rings: The Return of the King, The", "true"
"Alfre Woodard","actor","Dinosaur", "true"
"Alfred Lutter III","actor","Alice Doesnt Live Here Anymore", "true"
"Alfred Molina","actor","Spider-Man 2", "true"
"Alice Brady","actor","In Old Chicago", "true"
"Alice Braga","actor","I Am Legend", "true"
"Alice da Cunha","actor","The Iron Lady", "true"
"Alice Faye","actor","In Old Chicago", "true"
"Alicia Goranson","actor","Boys Dont Cry", "true"
"Alima Ashton-Sheibu","actor","Matrix Reloaded, The", "true"
"Alison Doody","actor","Indiana Jones and the Last Crusade", "true"
"Alison Skipworth","actor","Dangerous", "true"
"Alison Whelan","actor","My Left Foot", "true"
"Allie Mickelson","actor","Capote", "true"
"Allison Gompf","actor","Children of a Lesser God", "true"
"Allison Janney","actor","Juno", "true"
"Alyson Hannigan","actor","American Pie 2", "true"
"Amanda Peet","actor","2012", "true"
"Amanda Seyfried","actor","Mamma Mia!", "true"
"Amber Rules","actor","Monsters Ball", "true"
"Amber Valletta","actor","Hitch", "true"
"America Ferrera","actor","How to Train Your Dragon", "true"
"Amr Waked","actor","Syriana", "true"
"Amrish Puri","actor","Indiana Jones and the Temple of Doom", "true"
"Amy Adams","actor","Night at the Museum: Battle of the Smithsonian", "true"
"Amy Adams","actor","The Fighter", "true"
"Amy Locane","actor","Blue Sky", "true"
"Amy Madigan","actor","Places in the Heart", "true"
"Amy Sedaris","actor","Chicken Little", "true"
"Amy Wright","actor","Accidental Tourist, The", "true"
"Andrea Checchi","actor","Ciociara, La", "true"
"Andrew Chavez","actor","Traffic", "true"
"Andrew Garfield","actor","The Amazing Spider-Man", "true"
"Andrew Prine","actor","Miracle Worker, The", "true"
"Andy Arness","actor","Matrix Reloaded, The", "true"
"Andy Devine","actor","In Old Chicago", "true"
"Andy Devine","actor","Stagecoach", "true"
"Andy Garcia","actor","Untouchables, The", "true"
"Angela Lansbury","actor","Gaslight", "true"
"Angela Lansbury","actor","National Velvet", "true"
"Angelina Jolie","actor","Girl, Interrupted", "true"
"Angelina Jolie","actor","Shark Tale", "true"
"Angelina Jolie","actor","Mr. & Mrs. Smith", "true"
"Angelina Jolie","actor","Kung Fu Panda 2", "true"
"Angelina Jolie","actor","Kung Fu Panda", "true"
"Angelina Jolie","actor","Lara Croft: Tomb Raider", "true"
"Anil Kapoor","actor","Slumdog Millionaire", "true"
"Anita Louise","actor","Story of Louis Pasteur, The", "true"
"Anita Louise","actor","Anthony Adverse", "true"
"Anita Page","actor","Broadway Melody, The", "true"
"Anjelica Huston","actor","Prizzis Honor", "true"
"Ann Blyth","actor","Mildred Pierce", "true"
"Ann Hearn","actor","Accused, The", "true"
"Ann Rutherford","actor","Gone with the Wind", "true"
"Ann Sothern","actor","Letter to Three Wives, A", "true"
"Anna Felix","actor","Crazy Heart", "true"
"Anna Kendrick","actor","New Moon", "true"
"Anna Lee","actor","How Green Was My Valley", "true"
"Anna Magnani","actor","Rose Tattoo, The", "true"
"Anna Paquin","actor","Piano, The", "true"
"Anna Popplewell","actor","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe", "true"
"Anna Popplewell","actor","The Chronicles of Narnia: Prince Caspian", "true"
"Annabella Sciorra","actor","Reversal of Fortune", "true"
